State,Abbreviation,firstCaseDate,firstCountyDetected,stateOfEmergency,stayAtHome,DifFirstCaseStayHome,LessThan2Weeks,1/21/2020c,1/21/2020d,1/22/2020c,1/22/2020d,1/23/2020c,1/23/2020d,1/24/2020c,1/24/2020d,1/25/2020c,1/25/2020d,1/26/2020c,1/26/2020d,1/27/2020c,1/27/2020d,1/28/2020c,1/28/2020d,1/29/2020c,1/29/2020d,1/30/2020c,1/30/2020d,1/31/2020c,1/31/2020d,2/1/2020c,2/1/2020d,2/2/2020c,2/2/2020d,2/3/2020c,2/3/2020d,2/4/2020c,2/4/2020d,2/5/2020c,2/5/2020d,2/6/2020c,2/6/2020d,2/7/2020c,2/7/2020d,2/8/2020c,2/8/2020d,2/9/2020c,2/9/2020d,2/10/2020c,2/10/2020d,2/11/2020c,2/11/2020d,2/12/2020c,2/12/2020d,2/13/2020c,2/13/2020d,2/14/2020c,2/14/2020d,2/15/2020c,2/15/2020d,2/16/2020c,2/16/2020d,2/17/2020c,2/17/2020d,2/18/2020c,2/18/2020d,2/19/2020c,2/19/2020d,2/20/2020c,2/20/2020d,2/21/2020c,2/21/2020d,2/22/2020c,2/22/2020d,2/23/2020c,2/23/2020d,2/24/2020c,2/24/2020d,2/25/2020c,2/25/2020d,2/26/2020c,2/26/2020d,2/27/2020c,2/27/2020d,2/28/2020c,2/28/2020d,2/29/2020c,2/29/2020d,3/1/2020c,3/1/2020d,3/2/2020c,3/2/2020d,3/3/2020c,3/3/2020d,3/4/2020c,3/4/2020d,3/5/2020c,3/5/2020d,3/6/2020c,3/6/2020d,3/7/2020c,3/7/2020d,3/8/2020c,3/8/2020d,3/9/2020c,3/9/2020d,3/10/2020c,3/10/2020d,3/11/2020c,3/11/2020d,3/12/2020c,3/12/2020d,3/13/2020c,3/13/2020d,3/14/2020c,3/14/2020d,3/15/2020c,3/15/2020d,3/16/2020c,3/16/2020d,3/17/2020c,3/17/2020d,3/18/2020c,3/18/2020d,3/19/2020c,3/19/2020d,3/20/2020c,3/20/2020d,3/21/2020c,3/21/2020d,3/22/2020c,3/22/2020d,3/23/2020c,3/23/2020d,3/24/2020c,3/24/2020d,3/25/2020c,3/25/2020d,3/26/2020c,3/26/2020d,3/27/2020c,3/27/2020d,3/28/2020c,3/28/2020d,3/29/2020c,3/29/2020d,3/30/2020c,3/30/2020d,3/31/2020c,3/31/2020d,4/1/2020c,4/1/2020d,4/2/2020c,4/2/2020d,4/3/2020c,4/3/2020d,4/4/2020c,4/4/2020d,4/5/2020c,4/5/2020d,4/6/2020c,4/6/2020d,4/7/2020c,4/7/2020d
Minnesota,MN,3/6/2020,Ramsey,3/13/2020,3/27/2020,21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,3,0,5,0,9,0,14,0,21,0,35,0,54,0,60,0,77,0,89,0,115,0,138,1,171,1,235,1,262,1,287,1,346,2,398,4,441,5,504,9,576,10,629,12,689,17,742,18,789,22,865,24,935,29,986,30,1069,34
Mississippi,MS,3/11/2020,Forrest,3/4/2020,4/3/2020,23,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,6,0,10,0,12,0,21,0,34,0,50,1,80,1,140,1,207,1,249,1,320,1,377,5,487,6,579,8,669,13,759,14,848,16,937,20,1073,22,1177,26,1358,29,1455,35,1638,43,1738,51,1915,59
Missouri,MO,3/7/2020,St. Louis,3/13/2020,4/6/2020,30,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,2,0,4,0,5,0,5,0,9,0,16,0,21,1,35,1,73,3,93,3,130,3,183,4,255,5,377,8,507,8,671,9,838,10,903,12,1050,13,1351,15,1581,18,1834,24,2113,31,2291,44,2367,52,2722,56,3037,79
Montana,MT,3/13/2020,Gallatin,3/12/2020,3/28/2020,15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,6,0,8,0,8,0,12,0,19,0,19,0,29,0,34,0,45,0,51,0,65,0,90,0,121,1,147,1,161,1,177,4,198,5,217,5,241,5,262,5,281,6,298,6,319,6,319,6
Nebraska,NE,2/17/2020,Douglas,3/13/2020,N/A,N/A,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,11,0,11,0,11,0,11,0,12,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,14,0,14,0,16,0,16,0,17,0,23,0,24,0,27,0,29,0,31,0,33,0,36,0,43,0,47,0,53,0,61,0,62,0,73,0,77,0,84,0,92,0,100,2,122,2,137,2,185,3,193,4,249,5,273,6,296,6,339,8,377,8,438,10,490,12
Nevada,NV,3/5/2020,Clark,3/12/2020,4/1/2020,27,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,4,0,4,0,4,0,7,0,11,0,19,0,21,0,26,0,45,1,55,1,82,1,99,1,165,2,165,2,190,2,265,4,315,6,405,10,535,10,621,10,738,14,920,15,1044,18,1113,26,1279,32,1458,38,1549,43,1758,46,1880,46,1971,58,2101,60
New Hampshire,NH,3/2/2020,Grafton,3/13/2020,3/27/2020,25,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,2,0,4,0,4,0,4,0,5,0,5,0,6,0,7,0,7,0,13,0,17,0,26,0,39,0,44,0,55,0,65,0,78,0,101,1,108,1,137,1,158,1,187,2,214,2,258,3,314,3,367,3,415,4,479,5,540,7,621,9,669,9,715,9,747,13
New Jersey,NJ,3/4/2020,Bergen,3/9/2020,3/21/2020,17,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,4,0,6,0,11,0,15,1,23,1,29,1,50,1,75,2,98,2,176,3,268,3,427,5,735,9,896,11,1336,16,1914,20,2844,27,3675,44,4402,62,6876,81,8825,108,11124,140,13386,161,16636,199,18696,267,22255,355,25590,539,29895,647,34124,847,37505,917,41090,1005,44416,1232
New Mexico,NM,3/11/2020,Bernalillo,3/11/2020,3/24/2020,13,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,10,0,13,0,17,0,21,0,23,0,28,0,35,0,43,0,57,0,65,0,83,0,100,0,112,1,136,1,191,1,208,2,237,2,281,4,315,5,363,6,403,7,495,10,543,11,624,12,686,12,794,13
New York,NY,3/1/2020,New York City,3/7/2020,3/22/2020,21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,11,0,22,0,44,0,89,0,106,0,142,0,173,0,217,0,326,0,421,0,610,2,732,6,950,10,1374,17,2382,27,4152,30,7102,57,10356,80,15168,122,20875,159,25665,218,33066,325,38987,432,44635,535,53363,782,59568,965,67174,1224,75832,1550,83889,1941,92770,2653,102870,2935,114996,3568,122911,4161,130703,4758,140081,5563
North Carolina,NC,3/3/2020,Wake,3/10/2020,3/30/2020,27,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,2,0,2,0,7,0,7,0,8,0,16,0,18,0,25,0,32,0,34,0,42,0,66,0,104,0,144,0,184,0,269,0,303,0,399,0,563,1,638,2,783,3,972,4,1167,6,1304,6,1528,10,1582,11,1857,17,2093,19,2402,30,2585,37,2870,40,3220,50
North Dakota,ND,3/11/2020,Ward,3/13/2020,N/A,N/A,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,5,0,7,0,19,0,27,0,28,0,30,0,32,0,36,0,45,0,58,0,68,1,94,1,98,1,109,3,126,3,147,3,159,3,173,3,186,3,207,3,225,3,237,4
Ohio,OH,3/9/2020,Cuyahoga,3/9/2020,3/23/2020,14,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,5,0,13,0,26,0,37,0,50,0,67,0,90,0,120,0,169,1,247,3,351,3,444,6,564,8,706,11,867,15,1144,22,1406,25,1665,30,1933,40,2199,55,2547,65,2902,81,3312,91,3739,102,4043,119,4450,142,4782,167
Oklahoma,OK,3/6/2020,Tulsa,3/15/2020,N/A,N/A,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,3,0,4,0,8,0,10,0,18,0,29,0,44,1,49,1,53,1,67,2,81,2,106,3,164,5,248,7,322,8,377,15,429,16,481,17,566,23,719,30,879,34,988,38,1159,42,1252,46,1327,51,1472,67
Oregon,OR,2/28/2020,Washington,3/8/2020,3/23/2020,24,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,6,0,13,0,13,0,14,0,20,0,30,0,30,0,36,1,39,1,46,1,66,2,74,3,87,3,114,3,137,4,161,5,191,5,209,8,266,10,316,11,414,12,479,13,548,13,606,16,690,18,736,19,826,21,899,22,999,26,1068,27,1132,29,1181,33
Pennsylvania,PA,3/6/2020,Delaware,3/6/2020,4/1/2020,26,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,6,0,10,0,12,0,16,0,22,0,41,0,47,0,68,0,81,0,101,0,139,1,187,1,269,1,388,2,504,3,644,6,851,7,1151,11,1690,16,2218,23,2815,35,3441,40,4156,48,4997,72,5805,74,7016,90,8420,102,10109,139,11589,159,13074,169,14582,240
Rhode Island,RI,3/1/2020,Unknown,3/9/2020,3/28/2020,27,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,5,0,5,0,5,0,20,0,20,0,20,0,21,0,23,0,33,0,44,0,44,0,66,0,83,0,106,0,124,0,132,0,165,0,203,0,239,2,294,3,408,4,488,8,566,10,657,12,711,14,806,17,922,25,1082,27,1229,30
South Carolina,SC,3/6/2020,Charleston,3/13/2020,4/7/2020,32,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,7,0,9,0,10,0,12,0,13,0,19,0,28,0,33,1,47,1,60,1,81,1,126,3,172,3,194,3,299,5,342,7,424,7,456,9,539,13,660,15,774,16,925,18,1083,22,1293,26,1554,31,1700,34,1917,40,2049,44,2232,48,2417,51
South Dakota,SD,3/10/2020,Beadle,3/13/2020,N/A,N/A,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,8,1,9,1,9,1,9,1,10,1,11,1,11,1,14,1,14,1,14,1,21,1,28,1,30,1,41,1,46,1,58,1,68,1,90,1,101,1,108,1,129,2,165,2,187,2,212,2,240,2,288,4,320,6
Tennessee,TN,3/5/2020,Williamson,3/12/2020,4/2/2020,28,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,4,0,7,0,8,0,18,0,26,0,32,0,39,0,52,0,73,0,98,0,155,0,237,0,312,2,424,2,522,2,679,2,806,3,981,3,1180,6,1364,6,1570,7,1721,13,2049,13,2690,23,2869,32,3032,36,3265,47,3538,50,3753,65,4010,72
Texas,TX,2/12/2020,Texas,3/13/2020,4/2/2020,50,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,0,4,0,4,0,10,0,10,0,10,0,10,0,11,0,11,0,11,0,11,0,11,0,12,0,16,0,19,0,19,0,23,0,24,0,31,0,33,0,41,0,58,0,69,0,80,0,87,1,106,1,166,2,248,4,377,5,547,5,632,7,728,7,857,11,1119,12,1543,21,1942,23,2161,29,2712,35,3043,46,3576,57,4261,63,4880,79,5669,97,6566,124,7094,137,8115,160,8974,178
Utah,UT,2/25/2020,Salt Lake,3/6/2020,N/A,N/A,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,3,0,4,0,5,0,7,0,7,0,21,0,29,0,40,0,51,0,65,0,80,0,112,0,138,0,182,1,257,1,298,1,346,1,402,1,480,2,608,2,719,2,806,4,887,5,1012,7,1074,7,1260,7,1428,8,1605,8,1675,13,1752,13
Vermont,VT,3/7/2020,Bennington,3/16/2020,3/25/2020,18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,5,0,8,0,12,0,14,0,19,0,22,2,29,2,49,2,52,2,75,2,95,7,123,8,158,9,184,10,211,12,235,12,256,12,293,13,321,16,338,17,389,17,461,20,512,22,543,23,575,23
Virginia,VA,3/7/2020,Fairfax,3/12/2020,3/30/2020,23,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,8,0,10,0,17,0,30,0,42,1,45,1,51,1,67,2,78,2,94,2,115,2,152,3,219,6,254,6,290,7,391,9,604,14,606,14,740,17,890,22,1021,26,1250,27,1511,34,1706,41,2012,46,2407,52,2637,52,2878,54,3333,69
Washington,WA,1/21/2020,Snohomish,2/29/2020,3/23/2020,62,FALSE,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,0,5,0,5,0,5,0,7,0,10,1,17,3,23,6,32,10,47,11,75,11,86,12,110,16,141,19,179,22,279,24,338,29,419,32,511,37,609,40,675,42,794,48,908,54,1026,68,1228,75,1404,83,1655,95,1844,97,2101,110,2469,123,2585,130,3208,151,3770,177,4311,191,4896,207,5179,221,5292,226,5588,249,6585,272,6966,293,7498,318,7984,344,8384,383,8682,409
West Virginia,WV,3/17/2020,Jefferson,3/4/2020,3/23/2020,6,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,8,0,12,0,16,0,16,0,39,0,51,0,76,0,96,0,113,0,124,1,145,1,162,1,191,2,217,2,242,2,282,2,324,3,345,4,412,4
Wisconsin,WI,2/5/2020,Dane,3/12/2020,3/25/2020,49,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,3,0,6,0,8,0,19,0,27,0,33,0,47,0,72,0,106,0,155,2,216,3,281,4,382,4,418,5,481,5,623,7,754,10,930,16,1042,17,1120,17,1267,20,1351,25,1550,33,1730,37,1916,49,2112,60,2267,73,2440,83,2578,94
Wyoming,WY,3/11/2020,Sheridan,3/12/2020,N/A,N/A,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,0,3,0,10,0,15,0,17,0,18,0,22,0,24,0,26,0,28,0,37,0,49,0,56,0,73,0,84,0,87,0,95,0,120,0,137,0,153,0,166,0,187,0,200,0,212,0,221,0
